,C03 - VIDRO 600ML RET,N,min,max,R,num classes,C,k,CLASSES,Freq,pi,Pi,Xi,Xi*pi,di^2*pi,Media simples,Media ponderada,var,desvpad,erro relativo agrupamento,cv,moda,assimetria
0,10.9,122.0,8.9,16.0,7.1,8.0,0.98,1.0, 8.90 |-  9.88,8.0,0.06557377049180328,0.06557377049180328,9.39,0.6157377049180328,0.633701268388103,12.1572131147541,12.498688524590165,3.206990083310937,1.7908071038810789,2.8088296767755687,0.14327960092435377,12.33,0.094196926192988
1,8.99,,,,,,,2.0, 9.88 |- 10.86,20.0,0.16393442622950818,0.22950819672131145,10.370000000000001,1.7,0.7428384974953849,,,,,,,,
2,9.0,,,,,,,3.0,10.86 |- 11.84,11.0,0.09016393442622951,0.31967213114754095,11.35,1.0233606557377048,0.11896998845718386,,,,,,,,
3,14.9,,,,,,,4.0,11.84 |- 12.82,37.0,0.30327868852459017,0.6229508196721312,12.33,3.739426229508197,0.008630043263533138,,,,,,,,
4,8.9,,,,,,,5.0,12.82 |- 13.80,15.0,0.12295081967213115,0.7459016393442623,13.31,1.6364754098360657,0.08092946436045304,,,,,,,,
5,10.0,,,,,,,6.0,13.80 |- 14.78,19.0,0.1557377049180328,0.9016393442622952,14.290000000000001,2.225491803278689,0.49973064948167484,,,,,,,,
6,10.99,,,,,,,7.0,14.78 |- 15.76,5.0,0.040983606557377046,0.9426229508196723,15.27,0.6258196721311475,0.3147609546614031,,,,,,,,
7,11.0,,,,,,,8.0,15.76 |- 16.74,7.0,0.05737704918032787,1.0000000000000002,16.25,0.9323770491803279,0.8074292172032017,,,,,,,,
8,12.0,,,,,,,,,,,,,,,,,,,,,,
9,11.0,,,,,,,,,,,,,,,,,,,,,,
10,13.0,,,,,,,,,,,,,,,,,,,,,,
11,9.0,,,,,,,,,,,,,,,,,,,,,,
12,9.0,,,,,,,,,,,,,,,,,,,,,,
13,9.0,,,,,,,,,,,,,,,,,,,,,,
14,9.0,,,,,,,,,,,,,,,,,,,,,,
15,9.5,,,,,,,,,,,,,,,,,,,,,,
16,9.9,,,,,,,,,,,,,,,,,,,,,,
17,9.9,,,,,,,,,,,,,,,,,,,,,,
18,9.9,,,,,,,,,,,,,,,,,,,,,,
19,9.9,,,,,,,,,,,,,,,,,,,,,,
20,9.99,,,,,,,,,,,,,,,,,,,,,,
21,9.99,,,,,,,,,,,,,,,,,,,,,,
22,10.0,,,,,,,,,,,,,,,,,,,,,,
23,10.0,,,,,,,,,,,,,,,,,,,,,,
24,10.0,,,,,,,,,,,,,,,,,,,,,,
25,10.0,,,,,,,,,,,,,,,,,,,,,,
26,10.0,,,,,,,,,,,,,,,,,,,,,,
27,10.0,,,,,,,,,,,,,,,,,,,,,,
28,10.0,,,,,,,,,,,,,,,,,,,,,,
29,10.0,,,,,,,,,,,,,,,,,,,,,,
30,10.0,,,,,,,,,,,,,,,,,,,,,,
31,10.0,,,,,,,,,,,,,,,,,,,,,,
32,10.0,,,,,,,,,,,,,,,,,,,,,,
33,10.0,,,,,,,,,,,,,,,,,,,,,,
34,10.0,,,,,,,,,,,,,,,,,,,,,,
35,10.9,,,,,,,,,,,,,,,,,,,,,,
36,10.9,,,,,,,,,,,,,,,,,,,,,,
37,10.9,,,,,,,,,,,,,,,,,,,,,,
38,11.0,,,,,,,,,,,,,,,,,,,,,,
39,11.0,,,,,,,,,,,,,,,,,,,,,,
