,C03 - VIDRO 600ML RET,N,min,max,R,num classes,C,k,CLASSES,Freq,pi,Pi,Xi,Xi*pi,di^2*pi,Media simples,Media ponderada,var,desvpad,erro relativo agrupamento,cv,moda,assimetria
0,13.0,135.0,7.99,14.5,6.51,9.0,0.8,1.0, 7.99 |-  8.79,9.0,0.06666666666666667,0.06666666666666667,8.39,0.5593333333333333,0.3292181069958845,10.527851851851853,10.612222222222222,2.0353580246913583,1.4266597438392092,0.801401573251889,0.13443553234795189,9.99,0.43613918799432316
1,10.0,,,,,,,2.0, 8.79 |-  9.59,15.0,0.1111111111111111,0.17777777777777776,9.190000000000001,1.0211111111111113,0.22474622770919017,,,,,,,,
2,10.0,,,,,,,3.0, 9.59 |- 10.39,60.0,0.4444444444444444,0.6222222222222222,9.99,4.4399999999999995,0.17207133058984886,,,,,,,,
3,8.0,,,,,,,4.0,10.39 |- 11.19,15.0,0.1111111111111111,0.7333333333333334,10.790000000000001,1.198888888888889,0.0035116598079561498,,,,,,,,
4,9.0,,,,,,,5.0,11.19 |- 11.99,2.0,0.014814814814814815,0.7481481481481482,11.59,0.17170370370370372,0.01416369455875629,,,,,,,,
5,9.9,,,,,,,6.0,11.99 |- 12.79,22.0,0.16296296296296298,0.9111111111111112,12.39,2.0191111111111115,0.5150434385002292,,,,,,,,
6,10.0,,,,,,,7.0,12.79 |- 13.59,8.0,0.05925925925925926,0.9703703703703704,13.190000000000001,0.7816296296296298,0.39377411979881166,,,,,,,,
7,10.0,,,,,,,8.0,13.59 |- 14.39,3.0,0.022222222222222223,0.9925925925925927,13.99,0.3108888888888889,0.2535418381344308,,,,,,,,
8,10.0,,,,,,,9.0,14.39 |- 15.19,1.0,0.007407407407407408,1.0,14.790000000000001,0.10955555555555557,0.12928760859625066,,,,,,,,
9,10.0,,,,,,,,,,,,,,,,,,,,,,
10,10.0,,,,,,,,,,,,,,,,,,,,,,
11,11.0,,,,,,,,,,,,,,,,,,,,,,
12,13.0,,,,,,,,,,,,,,,,,,,,,,
13,7.99,,,,,,,,,,,,,,,,,,,,,,
14,8.0,,,,,,,,,,,,,,,,,,,,,,
15,8.9,,,,,,,,,,,,,,,,,,,,,,
16,9.0,,,,,,,,,,,,,,,,,,,,,,
17,10.0,,,,,,,,,,,,,,,,,,,,,,
18,13.0,,,,,,,,,,,,,,,,,,,,,,
19,8.99,,,,,,,,,,,,,,,,,,,,,,
20,9.0,,,,,,,,,,,,,,,,,,,,,,
21,9.99,,,,,,,,,,,,,,,,,,,,,,
22,10.0,,,,,,,,,,,,,,,,,,,,,,
23,10.0,,,,,,,,,,,,,,,,,,,,,,
24,10.0,,,,,,,,,,,,,,,,,,,,,,
25,10.0,,,,,,,,,,,,,,,,,,,,,,
26,10.0,,,,,,,,,,,,,,,,,,,,,,
27,10.0,,,,,,,,,,,,,,,,,,,,,,
28,10.0,,,,,,,,,,,,,,,,,,,,,,
29,10.9,,,,,,,,,,,,,,,,,,,,,,
30,12.0,,,,,,,,,,,,,,,,,,,,,,
31,9.49,,,,,,,,,,,,,,,,,,,,,,
32,10.9,,,,,,,,,,,,,,,,,,,,,,
33,10.0,,,,,,,,,,,,,,,,,,,,,,
34,12.0,,,,,,,,,,,,,,,,,,,,,,
35,12.0,,,,,,,,,,,,,,,,,,,,,,
36,10.9,,,,,,,,,,,,,,,,,,,,,,
37,8.0,,,,,,,,,,,,,,,,,,,,,,
38,8.5,,,,,,,,,,,,,,,,,,,,,,
39,8.5,,,,,,,,,,,,,,,,,,,,,,
40,8.5,,,,,,,,,,,,,,,,,,,,,,
41,8.5,,,,,,,,,,,,,,,,,,,,,,
42,8.5,,,,,,,,,,,,,,,,,,,,,,
43,8.9,,,,,,,,,,,,,,,,,,,,,,
44,9.0,,,,,,,,,,,,,,,,,,,,,,
45,9.0,,,,,,,,,,,,,,,,,,,,,,
46,9.0,,,,,,,,,,,,,,,,,,,,,,
47,9.0,,,,,,,,,,,,,,,,,,,,,,
48,9.0,,,,,,,,,,,,,,,,,,,,,,
49,9.0,,,,,,,,,,,,,,,,,,,,,,
50,9.0,,,,,,,,,,,,,,,,,,,,,,
51,9.5,,,,,,,,,,,,,,,,,,,,,,
52,9.9,,,,,,,,,,,,,,,,,,,,,,
53,9.9,,,,,,,,,,,,,,,,,,,,,,
54,9.9,,,,,,,,,,,,,,,,,,,,,,
55,9.9,,,,,,,,,,,,,,,,,,,,,,
56,9.99,,,,,,,,,,,,,,,,,,,,,,
57,9.99,,,,,,,,,,,,,,,,,,,,,,
58,9.99,,,,,,,,,,,,,,,,,,,,,,
59,9.99,,,,,,,,,,,,,,,,,,,,,,
60,10.0,,,,,,,,,,,,,,,,,,,,,,
61,10.0,,,,,,,,,,,,,,,,,,,,,,
62,10.0,,,,,,,,,,,,,,,,,,,,,,
63,10.0,,,,,,,,,,,,,,,,,,,,,,
64,10.0,,,,,,,,,,,,,,,,,,,,,,
65,10.0,,,,,,,,,,,,,,,,,,,,,,
66,10.0,,,,,,,,,,,,,,,,,,,,,,
67,10.0,,,,,,,,,,,,,,,,,,,,,,
68,10.0,,,,,,,,,,,,,,,,,,,,,,
69,10.0,,,,,,,,,,,,,,,,,,,,,,
70,10.0,,,,,,,,,,,,,,,,,,,,,,
71,10.0,,,,,,,,,,,,,,,,,,,,,,
72,10.0,,,,,,,,,,,,,,,,,,,,,,
73,10.0,,,,,,,,,,,,,,,,,,,,,,
74,10.0,,,,,,,,,,,,,,,,,,,,,,
75,10.0,,,,,,,,,,,,,,,,,,,,,,
76,10.0,,,,,,,,,,,,,,,,,,,,,,
77,10.0,,,,,,,,,,,,,,,,,,,,,,
78,10.0,,,,,,,,,,,,,,,,,,,,,,
79,10.0,,,,,,,,,,,,,,,,,,,,,,
80,10.0,,,,,,,,,,,,,,,,,,,,,,
